TransactionID,Date,CustomerID,Amount,Category,PaymentMode,MerchantID,BranchID,Notes,Status,Location,DeviceID,Campaign,TaxAmount,DiscountAmount,is_refund,neg_non_refund,is_outlier
T100001,2025-01-08 00:01:00,C4507,1558.03,Clothing,Cash,M640,B6,,Completed,Bangalore,D6415,Festive Offer,433.07,270.77,False,False,False
T100005,2025-01-08 00:05:00,C2095,2374.68,Clothing,Cash,M276,B9,Discount applied,Completed,Kolkata,D9238,Summer Sale,277.63,82.37,False,False,False
T100008,2025-01-08 00:08:00,C2638,2321.55,Health,Cash,M613,B46,,Completed,Chennai,D8176,New Launch,372.83,214.51,False,False,False
T100009,2025-01-08 00:09:00,C3169,3657.52,Health,Card,M216,B13,,Completed,Chennai,D9494,Festive Offer,68.57,155.02,False,False,False
T100010,2025-01-08 00:10:00,C1466,4170.41,Clothing,Card,M381,B1,,Completed,Delhi,D5433,New Launch,178.73,14.39,False,False,False
T100011,2025-01-08 00:11:00,C2238,2736.11,Electronics,UPI,M878,B42,,Completed,Chennai,D6129,No Campaign,47.07,81.36,False,False,False
T100016,2025-01-08 00:16:00,C4171,3961.56,Electronics,UPI,M851,B45,,Completed,Delhi,D3273,No Campaign,306.61,285.76,False,False,False
T100018,2025-01-08 00:18:00,C4735,3953.7,Clothing,NetBanking,M899,B17,,Completed,Delhi,D1816,New Launch,424.83,213.89,False,False,False
T100020,2025-01-08 00:20:00,C2685,977.54,Electronics,Cash,M503,B17,Discount applied,Completed,Bangalore,D3535,No Campaign,96.23,193.47,False,False,False
T100032,2025-01-08 00:32:00,C1459,2215.04,Groceries,Cash,M633,B38,Discount applied,Completed,Kolkata,D1373,Festive Offer,27.24,134.59,False,False,False
T100033,2025-01-08 00:33:00,C4385,3213.85,Groceries,UPI,M397,B2,,Completed,Delhi,D7929,Festive Offer,143.74,126.28,False,False,False
T100035,2025-01-08 00:35:00,C3300,4516.89,Entertainment,Card,M285,B26,,Completed,Bangalore,D4806,Summer Sale,380.89,266.64,False,False,False
T100037,2025-01-08 00:37:00,C3904,825.97,Health,Card,M615,B37,,Completed,Kolkata,D1231,Summer Sale,44.2,4.77,False,False,False
